Obs,Neighborhood,Urban,Price,SqFt,LotSize,Baths
1,1,1,505.5,2192,16.4,2.5
2,1,1,784.1,3429,24.7,3.5
3,1,1,649,2842,17.7,3.5
4,1,1,689.8,2987,20.3,3.5
5,1,1,709.8,3029,22.2,3
6,1,1,590.2,2616,20.8,2.5
7,1,1,643.3,2978,17.3,3
8,1,1,789.7,3595,22.4,3.5
9,1,1,683,2838,27.4,3
10,1,1,544.3,2591,19.2,2
11,1,1,822.8,3633,26.9,4
12,2,1,637.7,2822,23.1,3
13,2,1,618.7,2994,20.4,3
14,2,1,619.3,2696,22.7,3.5
15,2,1,490.5,2134,13.4,2.5
16,2,1,675.1,3076,19.8,3
17,2,1,710.4,3259,20.8,3.5
18,2,1,674.7,3162,19.4,4
19,2,1,663.6,2885,23.2,3
20,2,1,606.6,2550,20.2,3
21,2,1,758.9,3380,19.6,4.5
22,2,1,723.7,3131,22.5,3.5
23,2,1,621.8,2754,19.2,2.5
24,3,0,622.4,2710,21.6,3
25,3,0,631.3,2616,20.8,2.5
26,3,0,574,2608,17.3,3.5
27,3,0,863.8,3572,29,4
28,3,0,652.7,2924,21.8,2.5
29,3,0,844.2,3614,25.5,3.5
30,3,0,629.9,2600,24.1,3.5
