,#,Company,Symbol,Weight,Price,Chg,% Chg
0,1,Apple Inc.,AAPL,6.23906,149.46,0.90,(0.60%)
1,2,Microsoft Corporation,MSFT,5.840961,289.61,-0.07,(-0.02%)
2,3,Amazon.com Inc.,AMZN,4.196865,"3,690.58",33.94,(0.93%)
3,4,Facebook Inc. Class A,FB,2.37217,372.41,2.62,(0.71%)
4,5,Alphabet Inc. Class A,GOOGL,2.141939,"2,678.73",18.43,(0.69%)
5,6,Alphabet Inc. Class C,GOOG,2.10127,"2,784.74",28.42,(1.03%)
6,7,Berkshire Hathaway Inc. Class B,BRK.B,1.413171,278.60,0.11,(0.04%)
7,8,Tesla Inc,TSLA,1.327496,659.24,15.86,(2.47%)
8,9,NVIDIA Corporation,NVDA,1.30487,192.68,-2.90,(-1.48%)
9,10,JPMorgan Chase & Co.,JPM,1.220864,151.60,0.96,(0.64%)
10,11,Johnson & Johnson,JNJ,1.211185,171.58,-0.21,(-0.12%)
11,12,Visa Inc. Class A,V,1.128845,250.02,1.00,(0.40%)
12,13,UnitedHealth Group Incorporated,UNH,1.055333,413.00,-4.70,(-1.13%)
13,14,PayPal Holdings Inc,PYPL,0.970347,307.30,-1.23,(-0.40%)
14,15,Home Depot Inc.,HD,0.947461,330.87,-1.98,(-0.59%)
15,16,Mastercard Incorporated Class A,MA,0.921523,392.58,-0.69,(-0.17%)
16,17,Procter & Gamble Company,PG,0.916273,140.26,0.47,(0.33%)
17,18,Walt Disney Company,DIS,0.856831,178.31,2.17,(1.23%)
18,19,Adobe Inc.,ADBE,0.801806,621.13,-4.75,(-0.76%)
19,20,Bank of America Corp,BAC,0.761139,38.15,0.45,(1.20%)
20,21,Comcast Corporation Class A,CMCSA,0.716362,58.64,0.28,(0.47%)
21,22,Exxon Mobil Corporation,XOM,0.646511,58.28,1.24,(2.17%)
22,23,salesforce.com inc.,CRM,0.641779,247.97,-0.28,(-0.11%)
23,24,Pfizer Inc.,PFE,0.62464,41.89,0.21,(0.49%)
24,25,Cisco Systems Inc.,CSCO,0.623182,55.55,0.32,(0.57%)
25,26,Verizon Communications Inc.,VZ,0.619379,55.79,-0.10,(-0.17%)
26,27,Netflix Inc.,NFLX,0.611839,516.96,1.55,(0.30%)
27,28,Coca-Cola Company,KO,0.592288,57.07,0.06,(0.10%)
28,29,PepsiCo Inc.,PEP,0.581409,157.19,0.01,(0.00%)
29,30,Abbott Laboratories,ABT,0.574652,119.16,-1.65,(-1.36%)
30,31,Intel Corporation,INTC,0.572975,54.49,1.49,(2.81%)
31,32,NIKE Inc. Class B,NKE,0.567855,165.14,-1.22,(-0.73%)
32,33,Thermo Fisher Scientific Inc.,TMO,0.560332,529.12,-3.14,(-0.59%)
33,34,AbbVie Inc.,ABBV,0.557953,117.78,-0.41,(-0.35%)
34,35,Accenture Plc Class A,ACN,0.542286,319.58,0.93,(0.29%)
35,36,AT&T Inc.,T,0.53811,28.19,0.04,(0.14%)
36,37,Broadcom Inc.,AVGO,0.527291,482.51,-0.65,(-0.13%)
37,38,Merck & Co. Inc.,MRK,0.525648,77.25,-0.30,(-0.38%)
38,39,Walmart Inc.,WMT,0.523576,142.55,0.12,(0.08%)
39,40,Eli Lilly and Company,LLY,0.520314,242.93,-1.22,(-0.50%)
40,41,Chevron Corporation,CVX,0.511557,100.77,1.91,(1.93%)
41,42,Costco Wholesale Corporation,COST,0.501053,423.29,-0.14,(-0.03%)
42,43,Danaher Corporation,DHR,0.49504,290.16,-1.11,(-0.38%)
43,44,Wells Fargo & Company,WFC,0.492802,44.96,0.37,(0.82%)
44,45,McDonald's Corporation,MCD,0.485372,244.19,1.23,(0.50%)
45,46,Medtronic Plc,MDT,0.463238,127.75,-0.80,(-0.62%)
46,47,Texas Instruments Incorporated,TXN,0.461995,188.89,2.04,(1.09%)
47,48,Qualcomm Inc,QCOM,0.437537,143.70,-1.18,(-0.81%)
48,49,Oracle Corporation,ORCL,0.426486,87.85,0.16,(0.18%)
